841714         ,insumo,TONER RICOH MP301 841767                          ,43.3188,50,100
A1843420       ,repuesto,EXTRACTOR DE BOTELLA DE TONER  MP301/MP1500       ,5.821,45,20
AA063710       ,repuesto,RESORTE DE STRIPPER PAWLS RICOH MP301                       ,7.651,200,100
AB011492       ,repuesto,ENGRANAGE DRIVE RICOH MP301                       ,6.8856,30,100
AE011131       ,repuesto,RODILLO DE CALOR RICOH MP301                      ,64.844,32,100
AE020207       ,repuesto,RODILLO DE PRESION RICOH MP301 AE020269           ,67.6255,48,100
AE031035       ,repuesto,BUJE RODILLO DE PRESION RICOH MP201/MP301         ,6.0328,53,200
AE044072       ,repuesto,STRIPPER PAWLS DE FUSOR RICOH MP301                         ,4.1404,200,300
841768         ,insumo,TONER RICOH MP2001/2501                           ,42.5364,30,100
AF031089       ,repuesto,RUEDA DE ALIMENTACION RICOH MP2001                ,20.7132,32,20
AW500038       ,repuesto,PUSH SWITCH PAPER RICOH MP2001/2501               ,12.6598,48,100
AZ320179       ,repuesto,POWER PACK RICOH MP2001/MP2501                    ,189.0043,53,100
B3872161       ,repuesto,RUEDA ARDF RICOH MP2001                           ,15.4382,50,100
AD025021       ,repuesto,STRIPPER PAWLS DE FUSOR RICOH MP4000/SP8200                 ,9.33,32,200
AE010099       ,repuesto,RODILLO DE FUSOR RICOH MP4000/5000 AE011132       ,203.99,48,100
AE020199       ,repuesto,RODILLO DE PRESION RICOH MP4000/SP8200            ,172.02,53,100
AE040099       ,repuesto,RODILLO DE LIMP. FUSOR RICOH MP4000/5000 AE040100 ,110.00,200,100
AE045099       ,repuesto,WEB DE LIMPIEZA RICOH MP4000/5000                 ,158.72,30,100
D0092351       ,repuesto,CUCHILLA DE LIMPIEZA RICOH MP4000/5000/SP8200     ,27.50,32,100
D0093086       ,repuesto,FILTRO UNIDAD REVELADORA RICOH MP4000/SP8200      ,11.72,48,200
D0094177       ,repuesto,THERMISTOR RICOH MP4000/5000/SP8200               ,37.69,53,200
D0099510       ,repuesto,CILINDRO RICOH OPC MP4000/5000/SP8200             ,319.51,50,100
W1330XC        ,insumo,TONER HP 408DN 432FDN                             ,166.84,20,100
W1332AC        ,insumo,UNIDAD DE IMAGEN HP 408DN 432FDN                  ,78.82,30,100
BU8060BRO      ,repuesto,BUJE FUSOR BROTHER 8060/65/80/85 GENERICO         ,10.1612,50,200
FU8060BRO      ,repuesto,RODILLO DE FUSOR BROTHER 8060/65/80/85 GENERICO   ,59.5572,25,100
LM4994001      ,repuesto,STRIPPER PAWLS FUSOR BROTHER 8060/65/80/85-8460/80 GENERICO ,13.1502,15,500
LU0215001      ,repuesto,FUSOR BROTHER 8060/8065/8460/8860 ORIGINAL (INHAB),317.135,5,20
5049           ,insumo,TONER BROTHER GRAFICO 8040/60/80 RECARGA 200grs.  ,53.2024,50,100
8438           ,insumo,TAPA CARTUCHO TONER BROTHER TN350/560/570         ,1.074,10,50
CHLEXE260      ,repuesto,CUCHILLA CILINDRO LEXMARK E260/460/264/464/466 GEN,15.6384,80,60
E260X22GNERICO ,repuesto,CILINDRO LEXMARK X264/364/464/E460 GEN.           ,57.5854,80,60
E460XIIL       ,insumo,TONER LEXMARK E460 ORIGINAL                       ,212.8997,80,60
T671200        ,insumo,CAJA DE MANTENIMIENTO EPSON WF-6090/6590          ,35.1694,60,80
T748XXL120-AL  ,insumo,TINTA EPSON WF-6090/6590 NEGRA                    ,77.9354,20,40
T748XXL220-AL  ,insumo,TINTA EPSON WF-6090/6590 CYAN                     ,98.6976,19,40
T748XXL320-AL  ,insumo,TINTA EPSON WF-6090/6590 MAGENTA                  ,98.6976,15,40
T748XXL420-AL  ,insumo,TINTA EPSON WF-6090/6590 AMARILLA                 ,98.6976,20,40
